instruction_in immediate
8C7F0A97 8C7F0000
97C4AA2E 00000000
B716A674 00000000
D821CC93 FFFFFD82
9A4EB337 9A4EB000
DBA252B7 DBA25000
8B7D76B7 8B7D7000
D8E57D66 00000000
6C74A463 000006C8
9FA1DEB7 9FA1D000
A5595114 00000000
6266D6EF 0006D626
7005B717 7005B000
4C2B3A56 00000000
E44B3C46 00000000
0E84BD93 000000E8
F6B29A13 FFFFFF6B
45CCCD97 45CCC000
6229396F 00093622
7A4842E3 00000FA4
CAAE7DE6 00000000
CFEA4A26 00000000
8765A856 00000000
7ADFC8AE 00000000
916B5E13 FFFFF916
648D8B63 00000656
ECF3E6A4 00000000
D6094263 FFFFF564
122F6B4C 00000000
565F9813 00000565
164E1B63 00000176
A5EE9797 A5EE9000
052D0837 052D0000
5E451393 000005E4
D52692B7 D5269000
F5081EC4 00000000
C73547FE 00000000
23EE074E 00000000
DEB91DAE 00000000
DEBE0993 FFFFFDEB
FA86BB6F FFF6B7A8
793E6037 793E6000
CC95A793 FFFFFCC9
CD087CE3 FFFFFCD8
762382B7 76238000
853E031C 00000000
C7D0C2B7 C7D0C000
ADCB0CB7 ADCB0000
1E473B8E 00000000
B87B61A6 00000000
A3D1DD13 FFFFFA3D
94FF3FE3 FFFFF95E
24B2CD63 0000025A
89914AE3 FFFFF894
F1D5D27E 00000000
C234A213 FFFFFC23
8597DA1E 00000000
1B1CC2EF 000CC9B0
6A274897 6A274000
793DE096 00000000
43B9EAB7 43B9E000
2FB379FE 00000000
C6342DB7 C6342000
BCA6AB6F FFF6A3CA
74C644B6 00000000
376FD817 376FD000
9184E36F FFF4E118
229DA893 00000229
04CF6893 0000004C
52FAE797 52FAE000
9E1D5C34 00000000
26511784 00000000
9CB24E26 00000000
38EA0D93 0000038E
9DEF6297 9DEF6000
62F0F163 00000622
F199794E 00000000
E710B197 E710B000
AE8BC663 FFFFF2EC
732FEC6F 000FE732
5C08B5EF 0008B5C0
9CF1BA1E 00000000
6FE15313 000006FE
E7005163 FFFFF662
B297F563 FFFFF32A
196A6FE6 00000000
0F6AEFE3 000008FE
F8456863 FFFFF790
AAB13937 AAB13000
A7342F66 00000000
ABAEEC76 00000000
2BC0BB37 2BC0B000
35DBA1AE 00000000
5BAFDC6F 000FD5BA
21015037 21015000
C02CF793 FFFFFC02
50BFE98E 00000000
9B9ACA37 9B9AC000
5D1C2634 00000000
53364B97 53364000
91F86A63 FFFFF114
09D63FEF 0006389C
70483017 70483000
A25FC8B7 A25FC000
FD061117 FD061000
F57DB306 00000000
1A1F9B97 1A1F9000
A71D442E 00000000
3578F27E 00000000
A2933797 A2933000
294B94B7 294B9000
FECBF397 FECBF000
A7321B17 A7321000
94F42497 94F42000
40D7B793 0000040D
6A140F4E 00000000
7760248E 00000000
7985C697 7985C000
3E92ACB7 3E92A000
9F9E5BEF FFFE59F8
28B23B16 00000000
5687AACE 00000000
1C418B8C 00000000
ACBC9174 00000000
A8053754 00000000
51342213 00000513
235FF563 0000022A
C741A644 00000000
325338E3 00000B30
F31716B7 F3171000
5E64C593 000005E6
A99B5C5E 00000000
D22C9CC4 00000000
03796E5E 00000000
18DBA113 0000018D
9F72D763 FFFFF1EE
D6838EEF FFF38568
AC74F517 AC74F000
1899E7EF 0009E988
F8D16313 FFFFFF8D
F9F93F5C 00000000
E0D149B7 E0D14000
77F9866F 00098F7E
8276BE6F FFF6B826
FA0D03CC 00000000
0E435113 000000E4
9AD727E6 00000000
737F2B94 00000000
BD4060E3 FFFFFBC0
051DE97E 00000000
0A083613 000000A0
7113F7EF 0003FF10
4866096F 00060486
FAC63237 FAC63000
1EC533EF 000531EC
5C048D7E 00000000
4BCFD816 00000000
7B1BD6B7 7B1BD000
1E64F0EF 0004F1E6
B04C1963 FFFFF312
5167586F 00075516
E166DE3E 00000000
6A0D23B7 6A0D2000
EB117ADE 00000000
106BF837 106BF000
3781A7B7 3781A000
B145DA6F FFF5D314
90B037AE 00000000
910CCAB7 910CC000
DD775C97 DD775000
43F090E3 00000C20
824BCA6F FFFBC024
85F395B7 85F39000
EAAE5B0E 00000000
180C7C63 00000198
EBD0FC6F FFF0FEBC
93713AE3 FFFFF934
1546DC17 1546D000
EDE65B6F FFF656DE
47189056 00000000
518DBC37 518DB000
02653313 00000026
AADB6837 AADB6000
